country,Year,Area,Sex,Record Type,Reliability,Source Year,Value,Value Footnotes
Argentina,2017,Urban,Both Sexes,Estimate - de facto,"Final figure, complete",2017,40410715,5
Argentina,2016,Urban,Both Sexes,Estimate - de facto,"Final figure, complete",2017,39951022,5
Argentina,2015,Urban,Both Sexes,Estimate - de facto,"Final figure, complete",2017,39487935,5
Argentina,2014,Urban,Both Sexes,Estimate - de facto,"Final figure, complete",2017,39021268,5
Argentina,2013,Urban,Both Sexes,Estimate - de facto,"Final figure, complete",2017,38544203,5
Argentina,2012,Urban,Both Sexes,Estimate - de facto,"Final figure, complete",2017,38073305,5
Argentina,2011,Urban,Both Sexes,Estimate - de facto,"Final figure, complete",2017,37600508,5
Argentina,2010,Urban,Both Sexes,Census - de facto - complete tabulation,"Final figure, complete",2015,36467245,
Argentina,2010,Urban,Both Sexes,Estimate - de facto,"Final figure, complete",2015,37126653,5
Argentina,2009,Urban,Both Sexes,Estimate - de facto,"Final figure, complete",2009,36553965,
Argentina,2008,Urban,Both Sexes,Estimate - de facto,"Final figure, complete",2008,36137648,
Armenia,2017,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2018,1898630,
Armenia,2016,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2017,1904230,
Armenia,2015,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2017,1909960,
Armenia,2014,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2017,1913481,
Armenia,2013,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2017,1915758,
Armenia,2012,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2017,1915060,
Armenia,2011,Urban,Both Sexes,Census - de facto - complete tabulation,"Final figure, complete",2013,1847124,
Armenia,2011,Urban,Both Sexes,Census - de jure - complete tabulation,"Final figure, complete",2013,1911287,
Armenia,2011,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2017,1918721,
Armenia,2010,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2017,1933144,
Armenia,2009,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2017,1950215,
Armenia,2008,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2017,1967259,
Australia,2017,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2019,21314066,6
Australia,2016,Urban,Both Sexes,Census - de facto - complete tabulation,"Final figure, complete",2017,21806740,7
Australia,2016,Urban,Both Sexes,Census - de jure - complete tabulation,"Final figure, complete",2017,20947027,7
Australia,2016,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2019,20924730,6
Australia,2015,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2019,20565241,6
Australia,2014,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2019,20235122,6
Australia,2013,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2019,19903669,6
Australia,2012,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2019,19536489,6
Australia,2011,Urban,Both Sexes,Census - de facto - complete tabulation,"Final figure, complete",2012,19312642,7
Australia,2011,Urban,Both Sexes,Census - de jure - complete tabulation,"Final figure, complete",2012,19126751,7
Australia,2011,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2018,19172952,6
Australia,2010,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2018,18886173,6
Australia,2009,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2018,18574681,6
Australia,2008,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2018,18170662,6
Austria,2011,Urban,Both Sexes,Census - de jure - complete tabulation,"Final figure, complete",2012,5643239,
Azerbaijan,2018,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2018,5261900,
Azerbaijan,2017,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2018,5218400,
Azerbaijan,2016,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2017,5175700,
Azerbaijan,2015,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2017,5126300,
Azerbaijan,2014,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2017,5072100,
Azerbaijan,2013,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2017,5016000,
Azerbaijan,2012,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2017,4936900,
Azerbaijan,2011,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2013,4859100,
Azerbaijan,2010,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2011,4802200,
Azerbaijan,2009,Urban,Both Sexes,Census - de jure - complete tabulation,"Final figure, complete",2011,4739123,
Azerbaijan,2009,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2011,4751400,
Azerbaijan,2008,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2011,4690000,
Bahrain,2010,Urban,Both Sexes,Census - de jure - complete tabulation,"Final figure, complete",2012,1234571,
Bangladesh,2017,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2019,49216750,
Bangladesh,2016,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2017,47400000,
Bangladesh,2015,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2017,45700000,
Bangladesh,2014,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2015,44110000,
Bangladesh,2013,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2015,42580000,
Bangladesh,2012,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2015,41100000,
Bangladesh,2011,Urban,Both Sexes,Census - de facto - complete tabulation,"Final figure, complete",2014,33563183,
Bangladesh,2011,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2013,39000000,
Bangladesh,2010,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2012,38540000,
Bangladesh,2008,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2008,36700000,
Belarus,2018,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2018,7412118,
Belarus,2017,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2018,7406475,8
Belarus,2017,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2017,7400832,
Belarus,2016,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2017,7385438,8
Belarus,2015,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2016,7347512,
Belarus,2014,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2016,7299878,
Belarus,2014,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2014,7274775,
Belarus,2013,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2014,7247854,
Belarus,2012,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2013,7198575,
Belarus,2011,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2013,7148636,
Belarus,2010,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2013,7100147,
Belarus,2009,Urban,Both Sexes,Census - de jure - complete tabulation,"Final figure, complete",2011,7064529,
Belarus,2009,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2013,7052045,
Belarus,2008,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2013,7008135,
Belgium,2011,Urban,Both Sexes,Census - de jure - complete tabulation,"Final figure, complete",2015,10842520,
Belgium,2011,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2013,10884939,
Belgium,2010,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2013,10739291,
Belgium,2009,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2011,10641089,
Belgium,2008,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2011,10555681,
Belize,2017,Urban,Both Sexes,Estimate - de jure,"Final figure, incomplete/questionable reliability",2017,173841,
Belize,2016,Urban,Both Sexes,Estimate - de jure,"Final figure, incomplete/questionable reliability",2017,169598,
Belize,2015,Urban,Both Sexes,Estimate - de jure,"Final figure, incomplete/questionable reliability",2017,165463,
Belize,2014,Urban,Both Sexes,Estimate - de jure,"Final figure, incomplete/questionable reliability",2017,161434,
Belize,2013,Urban,Both Sexes,Estimate - de jure,"Final figure, incomplete/questionable reliability",2017,157508,
Belize,2012,Urban,Both Sexes,Estimate - de jure,"Final figure, incomplete/questionable reliability",2017,153683,
Belize,2011,Urban,Both Sexes,Estimate - de jure,"Final figure, incomplete/questionable reliability",2017,149955,
Belize,2010,Urban,Both Sexes,Census - de jure - complete tabulation,"Final figure, complete",2014,145832,
Belize,2010,Urban,Both Sexes,Estimate - de jure,"Final figure, incomplete/questionable reliability",2017,146323,
Belize,2009,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2014,142447,
Belize,2008,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2014,138716,
Benin,2013,Urban,Both Sexes,Census - de facto - complete tabulation,"Final figure, complete",2016,4460503,
Benin,2012,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2014,4280693,9
Benin,2011,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2011,4072574,9
Benin,2010,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2011,3873462,9
Benin,2009,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2011,3682496,9
Benin,2008,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2011,3499506,9
Bermuda,2016,Urban,Both Sexes,Census - de jure - complete tabulation,"Final figure, complete",2018,63779,10
Bermuda,2010,Urban,Both Sexes,Census - de jure - complete tabulation,"Final figure, complete",2011,64237,10
Bhutan,2017,Urban,Both Sexes,Census - de facto - complete tabulation,"Final figure, complete",2018,274316,
Bhutan,2015,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2015,294402,11
Bhutan,2014,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2014,283543,11
Bhutan,2013,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2013,272839,11
Bhutan,2012,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2013,262325,11
Bhutan,2011,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2011,252038,11
Bhutan,2010,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2011,242001,11
Bhutan,2009,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2011,232232,11
Bhutan,2008,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2011,222753,11
Bolivia (Plurinational State of),2018,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2019,7848776,
Bolivia (Plurinational State of),2017,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2019,7699908,
Bolivia (Plurinational State of),2016,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2019,7551625,
Bolivia (Plurinational State of),2015,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2019,7403841,
Bolivia (Plurinational State of),2014,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2019,7256749,
Bolivia (Plurinational State of),2013,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2019,7110575,
Bolivia (Plurinational State of),2012,Urban,Both Sexes,Census - de facto - complete tabulation,"Final figure, complete",2014,6788962,
Bolivia (Plurinational State of),2012,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2019,6965568,
Botswana,2017,Urban,Both Sexes,Estimate - de jure,"Final figure, incomplete/questionable reliability",2017,1602216,12
Botswana,2016,Urban,Both Sexes,Estimate - de jure,"Final figure, incomplete/questionable reliability",2016,1554836,12
Botswana,2015,Urban,Both Sexes,Estimate - de jure,"Final figure, incomplete/questionable reliability",2016,1508277,12
Botswana,2014,Urban,Both Sexes,Estimate - de jure,"Final figure, incomplete/questionable reliability",2016,1460383,12
Botswana,2013,Urban,Both Sexes,Estimate - de jure,"Final figure, incomplete/questionable reliability",2016,1411436,12
Botswana,2012,Urban,Both Sexes,Estimate - de jure,"Final figure, incomplete/questionable reliability",2016,1361699,12
Botswana,2011,Urban,Both Sexes,Census - de facto - complete tabulation,"Final figure, complete",2015,1297287,
Brazil,2017,Urban,Both Sexes,Estimate - de jure,"Final figure, incomplete/questionable reliability",2017,179217278.630135,"9,13"
Brazil,2016,Urban,Both Sexes,Estimate - de jure,"Final figure, incomplete/questionable reliability",2017,177309126.186081,"9,13"
Brazil,2015,Urban,Both Sexes,Estimate - de jure,"Final figure, incomplete/questionable reliability",2017,175355102.645963,"9,13"
Brazil,2014,Urban,Both Sexes,Estimate - de jure,"Final figure, incomplete/questionable reliability",2017,173358764.343042,"9,13"
Brazil,2013,Urban,Both Sexes,Estimate - de jure,"Final figure, incomplete/questionable reliability",2017,171317078.746509,"9,13"
Brazil,2012,Urban,Both Sexes,Estimate - de jure,"Final figure, incomplete/questionable reliability",2017,169230104.78714,"9,13"
Brazil,2011,Urban,Both Sexes,Estimate - de jure,"Final figure, incomplete/questionable reliability",2017,167096245.187289,"9,13"
Brazil,2010,Urban,Both Sexes,Census - de jure - complete tabulation,"Final figure, complete",2011,160925804,
Brazil,2010,Urban,Both Sexes,Estimate - de jure,"Final figure, incomplete/questionable reliability",2017,164920459,"9,13"
Brazil,2009,Urban,Both Sexes,Estimate - de jure,"Final figure, incomplete/questionable reliability",2017,162670274.00357,"9,13"
Brazil,2008,Urban,Both Sexes,Estimate - de jure,"Final figure, incomplete/questionable reliability",2017,160383924.352117,"9,13"
Brunei Darussalam,2016,Urban,Both Sexes,Estimate - de jure,"Final figure, incomplete/questionable reliability",2018,312448,14
Brunei Darussalam,2011,Urban,Both Sexes,Census - de jure - complete tabulation,"Final figure, complete",2015,296257,
Bulgaria,2018,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2019,5181755,
Bulgaria,2017,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2018,5193070,8
Bulgaria,2017,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2017,5204385,
Bulgaria,2016,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2016,5227182,
Bulgaria,2016,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2017,5215784,8
Bulgaria,2015,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2016,5247331,
Bulgaria,2015,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2015,5267480,
Bulgaria,2014,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2015,5279577,
Bulgaria,2012,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2013,5316384,
Bulgaria,2011,Urban,Both Sexes,Census - de jure - complete tabulation,"Final figure, complete",2012,5338261,
Bulgaria,2011,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2012,5336366,
Bulgaria,2010,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2011,5388142,
Bulgaria,2009,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2010,5408330,
Bulgaria,2008,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2009,5405147,
Burundi,2008,Urban,Both Sexes,Census - de facto - complete tabulation,"Final figure, complete",2009,799802,
Burundi,2008,Urban,Both Sexes,Census - de jure - complete tabulation,"Final figure, complete",2009,811866,
Cabo Verde,2010,Urban,Both Sexes,Census - de jure - complete tabulation,"Final figure, complete",2017,303673,
Cabo Verde,2009,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2011,310958,
Cabo Verde,2008,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2008,303512.029063235,
Cambodia,2015,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2015,3540575,"15,16"
Cambodia,2014,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2014,3412183,"15,16"
Cambodia,2013,Urban,Both Sexes,Sample survey - de facto,"Final figure, complete",2014,3146212,17
Cambodia,2013,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2013,3285951,"15,16"
Cambodia,2012,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2013,3165683.03882844,"15,16"
Cambodia,2011,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2011,3042794,"15,16"
Cambodia,2010,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2011,2926810,"15,16"
Cambodia,2009,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2011,2814943,"15,16"
Cambodia,2008,Urban,Both Sexes,Census - de facto - complete tabulation,"Final figure, complete",2009,2614027,16
Cambodia,2008,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2011,2707240,"15,16"
Cameroon,2010,Urban,Both Sexes,Estimate - de jure,"Final figure, incomplete/questionable reliability",2010,10091172,9
Canada,2016,Urban,Both Sexes,Census - de jure - complete tabulation,"Final figure, complete",2017,28575665,18
Canada,2011,Urban,Both Sexes,Census - de jure - complete tabulation,"Final figure, complete",2013,27147190,
Cayman Islands,2017,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2019,63415,
Cayman Islands,2016,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2019,61361,
Cayman Islands,2015,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2019,60413.26701831,
Cayman Islands,2014,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2019,58237.9999999994,
Cayman Islands,2013,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2019,55747,
Cayman Islands,2012,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2019,56732,
Cayman Islands,2011,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2019,55517,
Cayman Islands,2010,Urban,Both Sexes,Census - de jure - complete tabulation,"Final figure, complete",2012,55036,19
Cayman Islands,2010,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2019,55036,
Cayman Islands,2009,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2019,56005,
Cayman Islands,2008,Urban,Both Sexes,Estimate - de jure,"Final figure, complete",2019,57009,
Chad,2018,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2019,3684377,
Chad,2017,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2019,3520661,
Chad,2016,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2019,3363534,
Chad,2015,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2019,3212470,
Chad,2014,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2019,3066996,
Chad,2013,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2019,2927481,
Chad,2012,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2019,2793589,
Chad,2011,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2019,2665217,
Chad,2010,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2019,2542406,
Chad,2009,Urban,Both Sexes,Census - de jure - complete tabulation,"Final figure, complete",2019,2404145,
Chile,2018,Urban,Both Sexes,Estimate - de facto,"Final figure, complete",2018,16225850,
Chile,2017,Urban,Both Sexes,Estimate - de facto,"Final figure, complete",2017,16063564,
Chile,2016,Urban,Both Sexes,Estimate - de facto,"Final figure, complete",2016,15898145,
Chile,2015,Urban,Both Sexes,Estimate - de facto,"Final figure, complete",2016,15729803,
Chile,2014,Urban,Both Sexes,Estimate - de facto,"Final figure, complete",2016,15559039,
Chile,2013,Urban,Both Sexes,Estimate - de facto,"Final figure, complete",2019,15386310,
Chile,2012,Urban,Both Sexes,Estimate - de facto,"Final figure, complete",2019,15211974,
Chile,2011,Urban,Both Sexes,Estimate - de facto,"Final figure, complete",2019,15034027,
Chile,2010,Urban,Both Sexes,Estimate - de facto,"Final figure, complete",2019,14855979,
Chile,2009,Urban,Both Sexes,Estimate - de facto,"Final figure, complete",2019,14677912,
Chile,2008,Urban,Both Sexes,Estimate - de facto,"Final figure, complete",2019,14498584,
China,2018,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2019,822420000,"20,21,22"
China,2017,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2019,803225000,"20,21,22"
China,2016,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2018,782070000,"20,21,22"
China,2015,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2016,760160000,"20,21,22"
China,2014,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2015,740135000,"20,21,22"
China,2013,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2014,721465000,"20,21,22"
China,2012,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2013,701305000,"20,22,23"
China,2011,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2012,691000000,"20,22,23,24"
China,2010,Urban,Both Sexes,Census - de jure - complete tabulation,"Final figure, complete",2012,665575306,"20,25"
China,2010,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2012,669780000,"20,21,22,24"
China,2009,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2012,645120000,"20,21,22,24"
China,2008,Urban,Both Sexes,Estimate - de facto,"Final figure, incomplete/questionable reliability",2012,624030000,"20,21,22,24"
Colombia,2018,Urban,Both Sexes,Estimate - de jure,"Final figure, incomplete/questionable reliability",2018,38295351,26
Colombia,2017,Urban,Both Sexes,Estimate - de jure,"Final figure, incomplete/questionable reliability",2018,37816051,26
Colombia,2016,Urban,Both Sexes,Estimate - de jure,"Final figure, incomplete/questionable reliability",2016,37332955,26
Colombia,2015,Urban,Both Sexes,Estimate - de jure,"Final figure, incomplete/questionable reliability",2015,36846935,26
Colombia,2014,Urban,Both Sexes,Estimate - de jure,"Final figure, incomplete/questionable reliability",2014,36359268,26
Colombia,2013,Urban,Both Sexes,Estimate - de jure,"Final figure, incomplete/questionable reliability",2013,35869246,26
Colombia,2012,Urban,Both Sexes,Estimate - de jure,"Final figure, incomplete/questionable reliability",2013,35377138,26
Colombia,2011,Urban,Both Sexes,Estimate - de jure,"Final figure, incomplete/questionable reliability",2013,34883399,26
Colombia,2010,Urban,Both Sexes,Estimate - de jure,"Final figure, incomplete/questionable reliability",2013,34388013,26
Colombia,2009,Urban,Both Sexes,Estimate - de jure,"Final figure, incomplete/questionable reliability",2013,33892634,26
Colombia,2008,Urban,Both Sexes,Estimate - de jure,"Final figure, incomplete/questionable reliability",2013,33396380,26
Congo,2018,Urban,Both Sexes,Estimate - de jure,"Final figure, incomplete/questionable reliability",2019,2913720,
Congo,2017,Urban,Both Sexes,Estimate - de jure,"Final figure, incomplete/questionable reliability",2019,2839087,
Congo,2016,Urban,Both Sexes,Estimate - de jure,"Final figure, incomplete/questionable reliability",2019,2764263,
Congo,2015,Urban,Both Sexes,Estimate - de jure,"Final figure, incomplete/questionable reliability",2019,2688943,
Congo,2014,Urban,Both Sexes,Estimate - de jure,"Final figure, incomplete/questionable reliability",2019,2613169,
Congo,2013,Urban,Both Sexes,Estimate - de jure,"Final figure, incomplete/questionable reliability",2019,2537004,
Congo,2012,Urban,Both Sexes,Estimate - de jure,"Final figure, incomplete/questionable reliability",2019,2460535,
Congo,2011,Urban,Both Sexes,Estimate - de jure,"Final figure, incomplete/questionable reliability",2019,2383630,
Congo,2010,Urban,Both Sexes,Estimate - de jure,"Final figure, incomplete/questionable reliability",2019,2299393,
Congo,2009,Urban,Both Sexes,Estimate - de jure,"Final figure, incomplete/questionable reliability",2019,2228072,
Congo,2008,Urban,Both Sexes,Estimate - de jure,"Final figure, incomplete/questionable reliability",2019,2149376,
