country,Year,Area,Sex,Religion,Record Type,Reliability,Source Year,Value,Value Footnotes
Australia,2016,Total,Both Sexes,Not Stated,Census - de jure - complete tabulation,"Final figure, complete",2017,2132167,2
Australia,2016,Total,Both Sexes,Christian nfd,Census - de jure - complete tabulation,"Final figure, complete",2017,612371,2
Australia,2016,Total,Both Sexes,Chinese Religions,Census - de jure - complete tabulation,"Final figure, complete",2017,6385,2
Australia,2016,Total,Both Sexes,Presbyterian and Reformed,Census - de jure - complete tabulation,"Final figure, complete",2017,526689,2
Australia,2016,Total,Both Sexes,Japanese Religions,Census - de jure - complete tabulation,"Final figure, complete",2017,1772,2
Australia,2016,Total,Both Sexes,Nature and earth based religions,Census - de jure - complete tabulation,"Final figure, complete",2017,27207,2
Australia,2016,Total,Both Sexes,"Religious belief, nfd and Inadequately described",Census - de jure - complete tabulation,"Final figure, complete",2017,106568,2
Australia,2016,Total,Both Sexes,Australian Aboriginal Traditional Religion,Census - de jure - complete tabulation,"Final figure, complete",2017,8078,2
Australia,2016,Total,Both Sexes,Secular Beliefs,Census - de jure - complete tabulation,"Final figure, complete",2017,67592,2
Australia,2016,Total,Both Sexes,"Secular Beliefs and Other Spiritual Beliefs and No Religious Affiliation, nfd",Census - de jure - complete tabulation,"Final figure, complete",2017,237,2
Australia,2016,Total,Both Sexes,Assyrian Apostolic,Census - de jure - complete tabulation,"Final figure, complete",2017,13863,2
Australia,2016,Total,Both Sexes,Oriental Orthodox,Census - de jure - complete tabulation,"Final figure, complete",2017,51013,2
Australia,2011,Total,Both Sexes,Total,Census - de jure - complete tabulation,"Final figure, complete",2012,21507719,"2,3"
Australia,2011,Total,Both Sexes,Anglican,Census - de jure - complete tabulation,"Final figure, complete",2012,3679907,"2,3"
Australia,2011,Total,Both Sexes,Baha'i,Census - de jure - complete tabulation,"Final figure, complete",2012,13705,"2,3"
Australia,2011,Total,Both Sexes,Baptist,Census - de jure - complete tabulation,"Final figure, complete",2012,352499,"2,3"
Australia,2011,Total,Both Sexes,Brethren,Census - de jure - complete tabulation,"Final figure, complete",2012,21732,"2,3"
Australia,2011,Total,Both Sexes,Buddhist,Census - de jure - complete tabulation,"Final figure, complete",2012,528979,"2,3"
Australia,2011,Total,Both Sexes,Catholic,Census - de jure - complete tabulation,"Final figure, complete",2012,5439266,"2,3"
Australia,2011,Total,Both Sexes,Church of Christ,Census - de jure - complete tabulation,"Final figure, complete",2012,49688,"2,3"
Australia,2011,Total,Both Sexes,Druze,Census - de jure - complete tabulation,"Final figure, complete",2012,2973,"2,3"
Australia,2011,Total,Both Sexes,Eastern Orthodox,Census - de jure - complete tabulation,"Final figure, complete",2012,563072,"2,3"
Australia,2011,Total,Both Sexes,Hindu,Census - de jure - complete tabulation,"Final figure, complete",2012,275536,"2,3"
Australia,2011,Total,Both Sexes,Islam ,Census - de jure - complete tabulation,"Final figure, complete",2012,476291,"2,3"
Australia,2011,Total,Both Sexes,Judaism,Census - de jure - complete tabulation,"Final figure, complete",2012,97334,"2,3"
Australia,2011,Total,Both Sexes,Latter Day Saints,Census - de jure - complete tabulation,"Final figure, complete",2012,59770,"2,3"
Australia,2011,Total,Both Sexes,Lutheran,Census - de jure - complete tabulation,"Final figure, complete",2012,251932,"2,3"
Australia,2011,Total,Both Sexes,Pentecostal,Census - de jure - complete tabulation,"Final figure, complete",2012,237984,"2,3"
Australia,2011,Total,Both Sexes,Salvation Army,Census - de jure - complete tabulation,"Final figure, complete",2012,60162,"2,3"
Australia,2011,Total,Both Sexes,Seventh Day Adventist,Census - de jure - complete tabulation,"Final figure, complete",2012,63002,"2,3"
Australia,2011,Total,Both Sexes,Sikh,Census - de jure - complete tabulation,"Final figure, complete",2012,72296,"2,3"
Australia,2011,Total,Both Sexes,Spiritualist,Census - de jure - complete tabulation,"Final figure, complete",2012,11553,"2,3"
Australia,2011,Total,Both Sexes,United Church,Census - de jure - complete tabulation,"Final figure, complete",2012,1065794,"2,3"
Australia,2011,Total,Both Sexes,Other Christians,Census - de jure - complete tabulation,"Final figure, complete",2012,37674,"2,3"
Australia,2011,Total,Both Sexes,Other Protestant,Census - de jure - complete tabulation,"Final figure, complete",2012,60240,"2,3"
Australia,2011,Total,Both Sexes,Other Religions,Census - de jure - complete tabulation,"Final figure, complete",2012,18893,"2,3"
Australia,2011,Total,Both Sexes,No Religion,Census - de jure - complete tabulation,"Final figure, complete",2012,4796786,"2,3"
Australia,2011,Total,Both Sexes,Not Specified,Census - de jure - complete tabulation,"Final figure, complete",2012,170401,"2,3"
Australia,2011,Total,Both Sexes,Jehovah's Witnesses,Census - de jure - complete tabulation,"Final figure, complete",2012,85636,"2,3"
Australia,2011,Total,Both Sexes,Not Stated,Census - de jure - complete tabulation,"Final figure, complete",2012,1839650,"2,3"
Australia,2011,Total,Both Sexes,Christian nfd,Census - de jure - complete tabulation,"Final figure, complete",2012,470939,"2,3"
Australia,2011,Total,Both Sexes,Chinese Religions,Census - de jure - complete tabulation,"Final figure, complete",2012,5151,"2,3"
Australia,2011,Total,Both Sexes,Presbyterian and Reformed,Census - de jure - complete tabulation,"Final figure, complete",2012,599517,"2,3"
Australia,2011,Total,Both Sexes,Japanese Religions,Census - de jure - complete tabulation,"Final figure, complete",2012,1640,"2,3"
Australia,2011,Total,Both Sexes,Nature and earth based religions,Census - de jure - complete tabulation,"Final figure, complete",2012,32083,"2,3"
Australia,2011,Total,Both Sexes,"Theism, nec",Census - de jure - complete tabulation,"Final figure, complete",2012,3882,"2,3"
Australia,2011,Total,Both Sexes,Zoroastrianism,Census - de jure - complete tabulation,"Final figure, complete",2012,2541,"2,3"
Australia,2011,Total,Both Sexes,Australian Aboriginal Traditional Religion,Census - de jure - complete tabulation,"Final figure, complete",2012,7362,"2,3"
Australia,2011,Total,Both Sexes,Assyrian Apostolic,Census - de jure - complete tabulation,"Final figure, complete",2012,10588,"2,3"
Australia,2011,Total,Both Sexes,Oriental Orthodox,Census - de jure - complete tabulation,"Final figure, complete",2012,41261,"2,3"
Bahamas,2010,Total,Both Sexes,Total,Census - de jure - complete tabulation,"Final figure, complete",2013,351461,
Bahamas,2010,Total,Both Sexes,Anglican,Census - de jure - complete tabulation,"Final figure, complete",2013,48006,
Bahamas,2010,Total,Both Sexes,Assembly of God,Census - de jure - complete tabulation,"Final figure, complete",2013,2397,
Bahamas,2010,Total,Both Sexes,Baha'i,Census - de jure - complete tabulation,"Final figure, complete",2013,65,
Bahamas,2010,Total,Both Sexes,Baptist,Census - de jure - complete tabulation,"Final figure, complete",2013,122500,
Bahamas,2010,Total,Both Sexes,Brethren,Census - de jure - complete tabulation,"Final figure, complete",2013,5781,
Bahamas,2010,Total,Both Sexes,Church of God,Census - de jure - complete tabulation,"Final figure, complete",2013,6732,
Bahamas,2010,Total,Both Sexes,Hindu,Census - de jure - complete tabulation,"Final figure, complete",2013,428,
Bahamas,2010,Total,Both Sexes,Islam ,Census - de jure - complete tabulation,"Final figure, complete",2013,306,
Bahamas,2010,Total,Both Sexes,Jehovah Witness,Census - de jure - complete tabulation,"Final figure, complete",2013,3762,
Bahamas,2010,Total,Both Sexes,Jewish,Census - de jure - complete tabulation,"Final figure, complete",2013,191,
Bahamas,2010,Total,Both Sexes,Lutheran,Census - de jure - complete tabulation,"Final figure, complete",2013,376,
Bahamas,2010,Total,Both Sexes,Methodist,Census - de jure - complete tabulation,"Final figure, complete",2013,12512,
Bahamas,2010,Total,Both Sexes,Mormon,Census - de jure - complete tabulation,"Final figure, complete",2013,301,
Bahamas,2010,Total,Both Sexes,Pentecostal,Census - de jure - complete tabulation,"Final figure, complete",2013,31358,
Bahamas,2010,Total,Both Sexes,Presbyterian,Census - de jure - complete tabulation,"Final figure, complete",2013,728,
Bahamas,2010,Total,Both Sexes,Rastafarian,Census - de jure - complete tabulation,"Final figure, complete",2013,790,
Bahamas,2010,Total,Both Sexes,Roman Catholic,Census - de jure - complete tabulation,"Final figure, complete",2013,42287,
Bahamas,2010,Total,Both Sexes,Seventh Day Adventist,Census - de jure - complete tabulation,"Final figure, complete",2013,15441,
Bahamas,2010,Total,Both Sexes,Other Christians,Census - de jure - complete tabulation,"Final figure, complete",2013,41214,4
Bahamas,2010,Total,Both Sexes,Other Non-Christians,Census - de jure - complete tabulation,"Final figure, complete",2013,228,
Bahamas,2010,Total,Both Sexes,Not Stated,Census - de jure - complete tabulation,"Final figure, complete",2013,9050,
Bahamas,2010,Total,Both Sexes,None,Census - de jure - complete tabulation,"Final figure, complete",2013,6561,
Bahamas,2010,Total,Both Sexes,Greek Church,Census - de jure - complete tabulation,"Final figure, complete",2013,447,
Bahrain,2010,Total,Both Sexes,Total,Census - de jure - complete tabulation,"Final figure, complete",2011,1234571,
Bahrain,2010,Total,Both Sexes,Muslim,Census - de jure - complete tabulation,"Final figure, complete",2011,866888,
Bahrain,2010,Total,Both Sexes,Other Religions,Census - de jure - complete tabulation,"Final figure, complete",2011,367683,
Barbados,2010,Total,Both Sexes,Total,Census - de jure - complete tabulation,"Final figure, complete",2016,226193,5
Barbados,2010,Total,Both Sexes,Adventist,Census - de jure - complete tabulation,"Final figure, complete",2016,13437,5
Barbados,2010,Total,Both Sexes,Anglican,Census - de jure - complete tabulation,"Final figure, complete",2016,53969,5
Barbados,2010,Total,Both Sexes,Baha'i,Census - de jure - complete tabulation,"Final figure, complete",2016,98,5
Barbados,2010,Total,Both Sexes,Baptist,Census - de jure - complete tabulation,"Final figure, complete",2016,4082,5
Barbados,2010,Total,Both Sexes,Brethren,Census - de jure - complete tabulation,"Final figure, complete",2016,1075,5
Barbados,2010,Total,Both Sexes,Church of God,Census - de jure - complete tabulation,"Final figure, complete",2016,5356,5
Barbados,2010,Total,Both Sexes,Hindu,Census - de jure - complete tabulation,"Final figure, complete",2016,1055,5
Barbados,2010,Total,Both Sexes,Jehovah Witness,Census - de jure - complete tabulation,"Final figure, complete",2016,4515,5
Barbados,2010,Total,Both Sexes,Jewish,Census - de jure - complete tabulation,"Final figure, complete",2016,103,5
Barbados,2010,Total,Both Sexes,Methodist,Census - de jure - complete tabulation,"Final figure, complete",2016,9461,5
Barbados,2010,Total,Both Sexes,Moravian,Census - de jure - complete tabulation,"Final figure, complete",2016,2692,5
Barbados,2010,Total,Both Sexes,Mormon,Census - de jure - complete tabulation,"Final figure, complete",2016,235,5
Barbados,2010,Total,Both Sexes,Muslim,Census - de jure - complete tabulation,"Final figure, complete",2016,1605,5
Barbados,2010,Total,Both Sexes,Nazarene,Census - de jure - complete tabulation,"Final figure, complete",2016,7300,5
Barbados,2010,Total,Both Sexes,Pentecostal,Census - de jure - complete tabulation,"Final figure, complete",2016,44093,5
Barbados,2010,Total,Both Sexes,Rastafarian,Census - de jure - complete tabulation,"Final figure, complete",2016,2332,5
Barbados,2010,Total,Both Sexes,Roman Catholic,Census - de jure - complete tabulation,"Final figure, complete",2016,8679,5
Barbados,2010,Total,Both Sexes,Salvation Army,Census - de jure - complete tabulation,"Final figure, complete",2016,879,5
Barbados,2010,Total,Both Sexes,Wesleyan,Census - de jure - complete tabulation,"Final figure, complete",2016,7701,5
Barbados,2010,Total,Both Sexes,Other Christians,Census - de jure - complete tabulation,"Final figure, complete",2016,7567,5
Barbados,2010,Total,Both Sexes,No Religion,Census - de jure - complete tabulation,"Final figure, complete",2016,46559,5
Barbados,2010,Total,Both Sexes,Not Specified,Census - de jure - complete tabulation,"Final figure, complete",2016,2776,5
Barbados,2010,Total,Both Sexes,Other Non-Christians,Census - de jure - complete tabulation,"Final figure, complete",2016,624,5
Belize,2010,Total,Both Sexes,Total,Census - de jure - complete tabulation,"Final figure, complete",2014,322453,
Belize,2010,Total,Both Sexes,Adventist,Census - de jure - complete tabulation,"Final figure, complete",2014,820,
Belize,2010,Total,Both Sexes,Anglican,Census - de jure - complete tabulation,"Final figure, complete",2014,15065,
Belize,2010,Total,Both Sexes,Baha'i,Census - de jure - complete tabulation,"Final figure, complete",2014,216,
Belize,2010,Total,Both Sexes,Baptist,Census - de jure - complete tabulation,"Final figure, complete",2014,11620,
Belize,2010,Total,Both Sexes,Hindu,Census - de jure - complete tabulation,"Final figure, complete",2014,654,
Belize,2010,Total,Both Sexes,Jehovah Witness,Census - de jure - complete tabulation,"Final figure, complete",2014,5386,
Belize,2010,Total,Both Sexes,Mennonite,Census - de jure - complete tabulation,"Final figure, complete",2014,12053,
Belize,2010,Total,Both Sexes,Methodist,Census - de jure - complete tabulation,"Final figure, complete",2014,9457,
Belize,2010,Total,Both Sexes,Mormon,Census - de jure - complete tabulation,"Final figure, complete",2014,1333,
Belize,2010,Total,Both Sexes,Muslim,Census - de jure - complete tabulation,"Final figure, complete",2014,622,
Belize,2010,Total,Both Sexes,Nazarene,Census - de jure - complete tabulation,"Final figure, complete",2014,9145,
Belize,2010,Total,Both Sexes,Pentecostal,Census - de jure - complete tabulation,"Final figure, complete",2014,27121,
Belize,2010,Total,Both Sexes,Roman Catholic,Census - de jure - complete tabulation,"Final figure, complete",2014,129456,
Belize,2010,Total,Both Sexes,Salvation Army,Census - de jure - complete tabulation,"Final figure, complete",2014,400,
Belize,2010,Total,Both Sexes,Seventh Day Adventist,Census - de jure - complete tabulation,"Final figure, complete",2014,17559,
Belize,2010,Total,Both Sexes,Other Religions,Census - de jure - complete tabulation,"Final figure, complete",2014,28976,
Belize,2010,Total,Both Sexes,No Religion,Census - de jure - complete tabulation,"Final figure, complete",2014,49975,
Belize,2010,Total,Both Sexes,Not Specified,Census - de jure - complete tabulation,"Final figure, complete",2014,567,
Belize,2010,Total,Both Sexes,Not Stated,Census - de jure - complete tabulation,"Final figure, complete",2014,2028,
Bermuda,2010,Total,Both Sexes,Total,Census - de jure - complete tabulation,"Final figure, complete",2011,64237,6
Bermuda,2010,Total,Both Sexes,African Methodist Episcopal Church,Census - de jure - complete tabulation,"Final figure, complete",2011,5497,6
Bermuda,2010,Total,Both Sexes,Anglican,Census - de jure - complete tabulation,"Final figure, complete",2011,10138,6
Bermuda,2010,Total,Both Sexes,Baha'i,Census - de jure - complete tabulation,"Final figure, complete",2011,124,6
Bermuda,2010,Total,Both Sexes,Baptist,Census - de jure - complete tabulation,"Final figure, complete",2011,786,6
Bermuda,2010,Total,Both Sexes,Brethren,Census - de jure - complete tabulation,"Final figure, complete",2011,652,6
Bermuda,2010,Total,Both Sexes,Church of God,Census - de jure - complete tabulation,"Final figure, complete",2011,1001,6
Bermuda,2010,Total,Both Sexes,Jehovah Witness,Census - de jure - complete tabulation,"Final figure, complete",2011,850,6
Bermuda,2010,Total,Both Sexes,Jewish,Census - de jure - complete tabulation,"Final figure, complete",2011,135,6
Bermuda,2010,Total,Both Sexes,Lutheran,Census - de jure - complete tabulation,"Final figure, complete",2011,251,6
Bermuda,2010,Total,Both Sexes,Methodist,Census - de jure - complete tabulation,"Final figure, complete",2011,1747,6
Bermuda,2010,Total,Both Sexes,Muslim,Census - de jure - complete tabulation,"Final figure, complete",2011,616,6
Bermuda,2010,Total,Both Sexes,Non-denominational,Census - de jure - complete tabulation,"Final figure, complete",2011,5309,6
Bermuda,2010,Total,Both Sexes,Pentecostal,Census - de jure - complete tabulation,"Final figure, complete",2011,2246,6
Bermuda,2010,Total,Both Sexes,Presbyterian,Census - de jure - complete tabulation,"Final figure, complete",2011,1300,6
Bermuda,2010,Total,Both Sexes,Rastafarian,Census - de jure - complete tabulation,"Final figure, complete",2011,212,6
Bermuda,2010,Total,Both Sexes,Roman Catholic,Census - de jure - complete tabulation,"Final figure, complete",2011,9340,6
Bermuda,2010,Total,Both Sexes,Salvation Army,Census - de jure - complete tabulation,"Final figure, complete",2011,708,6
Bermuda,2010,Total,Both Sexes,Seventh Day Adventist,Census - de jure - complete tabulation,"Final figure, complete",2011,4273,6
Bermuda,2010,Total,Both Sexes,Other,Census - de jure - complete tabulation,"Final figure, complete",2011,1527,6
Bermuda,2010,Total,Both Sexes,Other Religions,Census - de jure - complete tabulation,"Final figure, complete",2011,4399,6
Bermuda,2010,Total,Both Sexes,Ethiopian Orthodox,Census - de jure - complete tabulation,"Final figure, complete",2011,253,6
Bermuda,2010,Total,Both Sexes,Not Stated,Census - de jure - complete tabulation,"Final figure, complete",2011,1407,6
Bermuda,2010,Total,Both Sexes,None,Census - de jure - complete tabulation,"Final figure, complete",2011,11466,6
Botswana,2011,Total,Both Sexes,Total,Census - de facto - complete tabulation,"Final figure, complete",2015,2024904,
Botswana,2011,Total,Both Sexes,Badimo,Census - de facto - complete tabulation,"Final figure, complete",2015,60613,
Botswana,2011,Total,Both Sexes,Baha'i,Census - de facto - complete tabulation,"Final figure, complete",2015,2074,
Botswana,2011,Total,Both Sexes,Christian,Census - de facto - complete tabulation,"Final figure, complete",2015,1171537,
Botswana,2011,Total,Both Sexes,Hindu,Census - de facto - complete tabulation,"Final figure, complete",2015,3729,
Botswana,2011,Total,Both Sexes,Muslim,Census - de facto - complete tabulation,"Final figure, complete",2015,10941,
Botswana,2011,Total,Both Sexes,Rastafarian,Census - de facto - complete tabulation,"Final figure, complete",2015,2030,
Botswana,2011,Total,Both Sexes,Other,Census - de facto - complete tabulation,"Final figure, complete",2015,1461,
Botswana,2011,Total,Both Sexes,No Religion,Census - de facto - complete tabulation,"Final figure, complete",2015,225416,
Botswana,2011,Total,Both Sexes,Unknown,Census - de facto - complete tabulation,"Final figure, complete",2015,547103,
Brazil,2010,Total,Both Sexes,Total,Census - de jure - complete tabulation,"Final figure, complete",2011,190755799,
Brazil,2010,Total,Both Sexes,Adventist,Census - de jure - complete tabulation,"Final figure, complete",2011,1561071,
Brazil,2010,Total,Both Sexes,Assembly of God,Census - de jure - complete tabulation,"Final figure, complete",2011,12314410,
Brazil,2010,Total,Both Sexes,Baptist,Census - de jure - complete tabulation,"Final figure, complete",2011,3723853,
Brazil,2010,Total,Both Sexes,Buddhist,Census - de jure - complete tabulation,"Final figure, complete",2011,243966,
Brazil,2010,Total,Both Sexes,Jehovah Witness,Census - de jure - complete tabulation,"Final figure, complete",2011,1393208,
Brazil,2010,Total,Both Sexes,Jewish,Census - de jure - complete tabulation,"Final figure, complete",2011,107329,
Brazil,2010,Total,Both Sexes,Lutheran,Census - de jure - complete tabulation,"Final figure, complete",2011,999498,
Brazil,2010,Total,Both Sexes,Methodist,Census - de jure - complete tabulation,"Final figure, complete",2011,340938,
Brazil,2010,Total,Both Sexes,Presbyterian,Census - de jure - complete tabulation,"Final figure, complete",2011,921209,
Brazil,2010,Total,Both Sexes,Spiritualist,Census - de jure - complete tabulation,"Final figure, complete",2011,61739,
Brazil,2010,Total,Both Sexes,Other Religions,Census - de jure - complete tabulation,"Final figure, complete",2011,1953260,
Brazil,2010,Total,Both Sexes,No Religion,Census - de jure - complete tabulation,"Final figure, complete",2011,15335510,
Brazil,2010,Total,Both Sexes,Not Specified,Census - de jure - complete tabulation,"Final figure, complete",2011,643598,
Brazil,2010,Total,Both Sexes,Not Declared,Census - de jure - complete tabulation,"Final figure, complete",2011,241941,
Brazil,2010,Total,Both Sexes,Brasilian Apostolic Catholic,Census - de jure - complete tabulation,"Final figure, complete",2011,560781,
Brazil,2010,Total,Both Sexes,Candomble,Census - de jure - complete tabulation,"Final figure, complete",2011,167363,
Brazil,2010,Total,Both Sexes,Christian Congregation of Brazil,Census - de jure - complete tabulation,"Final figure, complete",2011,2289634,
Brazil,2010,Total,Both Sexes,Espiritia,Census - de jure - complete tabulation,"Final figure, complete",2011,3848876,
Brazil,2010,Total,Both Sexes,God is Love,Census - de jure - complete tabulation,"Final figure, complete",2011,845383,
Brazil,2010,Total,Both Sexes,Orthodox Catholic,Census - de jure - complete tabulation,"Final figure, complete",2011,131571,
Brazil,2010,Total,Both Sexes,Other Evangelical Pentecostal,Census - de jure - complete tabulation,"Final figure, complete",2011,8047813,
Brazil,2010,Total,Both Sexes,Other Traditional Evangelical,Census - de jure - complete tabulation,"Final figure, complete",2011,9358386,
Brazil,2010,Total,Both Sexes,Roman Apostolic Catholic,Census - de jure - complete tabulation,"Final figure, complete",2011,123280172,
Brazil,2010,Total,Both Sexes,Umbanda,Census - de jure - complete tabulation,"Final figure, complete",2011,407331,
Brazil,2010,Total,Both Sexes,Universal of the Kingdom of God,Census - de jure - complete tabulation,"Final figure, complete",2011,1873243,
Brazil,2010,Total,Both Sexes,Messianica,Census - de jure - complete tabulation,"Final figure, complete",2011,103716,
British Virgin Islands,2010,Total,Both Sexes,Total,Census - de facto - complete tabulation,"Final figure, complete",2016,28054,
British Virgin Islands,2010,Total,Both Sexes,Anglican,Census - de facto - complete tabulation,"Final figure, complete",2016,2674,
British Virgin Islands,2010,Total,Both Sexes,Baha'i,Census - de facto - complete tabulation,"Final figure, complete",2016,10,
British Virgin Islands,2010,Total,Both Sexes,Baptist,Census - de facto - complete tabulation,"Final figure, complete",2016,2080,
British Virgin Islands,2010,Total,Both Sexes,Buddhist,Census - de facto - complete tabulation,"Final figure, complete",2016,43,
British Virgin Islands,2010,Total,Both Sexes,Church of God,Census - de facto - complete tabulation,"Final figure, complete",2016,2913,
