country,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Antigua and Barbuda,ATG,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.17393882982684,,,,,,,,,,,,,,10.8922161582394,11.7772343067156,13.1041635033165,14.400043170818,,,,,,,,,,,,
Australia,AUS,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.42379707999498,3.61029911688803,3.66773322697155,3.71663984710104,3.94206652361414,4.07359838214309,4.07374138645106,4.19313771612989,4.35690152923978,4.50317505567358,4.6648424342874,5.01869233002176,5.1562104484349,5.33222469065349,5.59608503733632,5.85452173248199,6.00885991395585,6.23010279436263,6.28020228768103,6.87419209547747,6.78812037913758,7.30437988134957,7.68153977785771,8.39406780763529,8.787819682664,8.43759054108936,,,,
Austria,AUT,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0005073550517,6.02751860999681,6.55031077637445,6.66454008594296,6.98929623466482,7.01339328979576,6.85092876230034,7.16089456448821,7.39603304586889,7.68595419390318,8.22856062180678,7.90622793276212,8.26220742550974,8.0804398976919,8.41982685638094,8.57009772831612,9.22402740725599,9.80013855220089,10.2467024547687,10.775380428796,10.3688013790119,11.334487598645,11.9526941098983,12.2279933576842,12.967170741226,13.1246798723646,,,,
Azerbaijan,AZE,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.80188885426086,1.86707307791579,1.82398871735726,1.60232449837521,1.4479965003261,1.38768620964392,1.69370839399309,1.89203314808948,2.02745902325745,2.37521487820494,2.61034517331213,2.89353811927927,3.18479106142322,3.3989713127719,3.62640464318079,4.55650570773642,6.40510814375966,9.01440414691177,9.23997341401924,11.3650668445648,12.4137490396873,11.5048313944952,10.9942456042383,11.6798768251687,11.8561751802562,,,,,
Burundi,BDI,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.90010711402439,3.93040633330336,4.03702777610536,4.1920661247052,4.16493403752578,4.27735869288844,4.13460161876599,4.33197837273355,4.38395010196136,4.56860238531617,4.93679756014198,5.1397560554812,5.65467806879474,5.55568612804329,5.76399611279947,5.99975459888342,6.46856711893868,6.90891678574732,6.99098594852085,7.31419843482899,7.23028373302122,8.10714610472616,8.7578189579514,8.7266419468741,9.47375006100318,9.72577373862157,,,,
Benin,BEN,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.84439286414229,3.01878104547207,3.10233755245039,3.28399120174364,3.34907874219098,3.54815016703277,3.23701037772701,3.35576298128687,3.57648850937358,3.66379855594038,4.59222547555917,4.64801256239975,4.60591901563258,4.60148812104813,4.72664525770351,4.93988271935254,4.483453338826,4.48799225103407,4.69472733563898,4.61371615776527,4.48602447642343,4.58926767377526,4.7326532457969,4.93867496666705,5.07324501261314,,,,,
Burkina Faso,BFA,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9674122177599,7.56228127005012,7.72668204692518,7.84449735768277,7.96945596200014,7.8615424349202,8.31829576285778,8.46376503816135,8.63535013143485,9.04908116517698,9.41424181303697,9.24158080144949,9.5201795184123,9.63873760178078,10.2275584541647,10.8201719587459,11.098598003661,11.6785505063709,12.0253479564053,12.0986224617574,11.9311719685469,12.5000603104995,12.9322508318291,13.6604982122396,14.1371268709926,,,,,
Bulgaria,BGR,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.31460940720483,2.82379947147926,2.865920172524,2.69530485883239,2.8907391012648,2.79751845841342,2.46905464327495,2.27495454663802,2.53147100338221,2.58540842114159,2.8005300706438,2.85358994386618,3.20468651398597,3.35009757354159,3.73780326658473,3.93059584504119,4.20349883482488,4.8013059236351,5.40947867662086,6.01538345368149,6.17954590797733,5.98982324120323,6.44884519645947,7.1147080578992,7.07697416315314,,,,,
Bahrain,BHR,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.15872599746256,2.52175878924677,2.50121865981447,2.74218915907943,2.62829280534923,2.75408723484095,2.92076218695073,2.71721765722014,2.74061208533322,2.92663238480282,2.9830408341238,3.04043797910906,3.08633430911882,3.14168163186609,3.43842933404668,3.29681892239845,3.37559121824968,3.58734854530229,3.58419431788359,3.81297550835008,3.89312061664106,4.05220016120827,4.32260870535564,4.24911224506704,4.37249835090049,,,,,
"Bahamas, The",BHS,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.98877652825264,,,,,,,,,,,,,,13.4263894169861,13.6565410173282,14.2196269492871,14.7501468496299,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.61391431165848,3.09624962188773,5.10073424340866,4.51663458652378,4.2482208725997,4.77306894589767,3.9252975405039,4.24817690309809,4.38245437752291,4.59528321881366,4.85331096985771,4.84090808191899,5.26184936810006,5.80908967415344,5.68591653060988,5.42620307862978,5.34415390408859,5.11166078238503,5.55738192432413,6.04700608977946,5.08837081984241,,,,,
Belarus,BLR,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.21587124038531,1.2746679125584,1.41239183425588,1.56866885175873,1.66597410062678,1.64739239425483,1.67933190740302,1.90787767213082,2.13499241355034,2.2998078092434,2.4477331558954,2.60856617775014,2.73039258729597,2.89176677204222,3.20025361316736,3.61378915580877,3.8474878163809,4.3804716698716,4.91429548830663,5.22575738349377,5.49229050609549,5.54183298051221,5.52605060658296,6.35044259678469,6.47080472130146,,,,,
Belize,BLZ,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.86186315258344,,,,,,,,,,,,,,12.1081977094388,12.3299465421879,12.4354529151647,12.4754902027908,,,,,,,,,,,,
Bermuda,BMU,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.31820274433181,6.6699818867819,6.54681842186718,6.53634786439068,6.34792674319584,6.04537824894656,5.97561882236359,5.84966448817886,6.14656424723631,6.37205258008551,5.96936720402883,7.97234047027827,6.92321422804224,6.96672183738593,7.44376896029674,7.34873568605227,6.33937852915225,8.35457708445557,8.5005773566503,8.49894908366445,8.21851992940682,8.35823165062885,7.78898257963271,8.41873826020823,8.47275471188462,,,,,
Brazil,BRA,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.131997493909,7.34575750167315,7.40091659090412,7.73611406444066,7.90587759916671,8.14920411760453,8.05326886074283,8.06102830230064,7.98769293058273,7.96050189355778,8.46153704195933,8.61698528083855,8.78800056108674,8.90691132423279,9.16393765218837,9.51239256312496,9.84625590151564,10.1486457601437,10.2992233364186,10.7149509823954,10.5412932005986,11.0167406046059,10.9685193707537,11.027102719872,10.9381077444546,,,,,
Barbados,BRB,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.42698868606511,,,,,,,,,,,,,,9.81643984777947,10.1198029359021,10.7956105198939,11.1967944795584,,,,,,,,,,,,
Brunei Darussalam,BRN,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.23401400027361,7.76482411984505,7.7374252663695,8.25317555730373,9.37067193113418,8.34257203920342,8.6821273131568,8.42566607440099,8.50879488182637,8.72396630127765,9.12457145738518,10.3476371148786,11.1731925279789,10.0863035173827,11.3538868968142,12.1704904329817,9.2123516410619,9.25216192584463,8.42563991751715,9.71014960312523,9.46421835422602,8.38662020466465,8.72196365516167,10.936015239394,9.31410154373103,,,,,
Bhutan,BTN,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4833811462594,,,,,,,,,,,,,,13.3059536926714,12.9685341515763,13.8025157940851,14.4534731816595,,,,,,,,,,,,
Botswana,BWA,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.82701423595779,6.3558738000601,5.80560978834396,6.03893303054317,6.48651754760955,6.92109935352358,7.64504587816244,8.02919117146546,7.2248067004741,7.78333208546498,7.80693845976729,7.90551700632621,8.38549709881482,8.96524319712443,9.61535582152978,10.0454623450522,10.8517689831332,11.6746942427541,11.9490478431935,11.9202786429493,11.9607045324355,13.478338180781,12.652157567652,13.5541967083294,13.1413502104095,,,,,
Central African Republic,CAF,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.64399627649161,2.68190009455561,2.70432974764153,2.7497684252143,2.83461118137485,2.9326030703458,2.97543102572072,3.12397698938608,3.29881173381096,3.42223307873277,3.54081082144523,3.73713394888939,3.85960305805014,3.8632929452371,3.99702102555648,4.29956507799747,4.61156382388667,4.80189167715575,4.91477435970846,4.97586024001698,5.13732799897538,5.25427071922064,5.45544424546666,5.70639162329187,5.77948832206119,5.84010896896846,,,,
Central Europe and the Baltics,CEB,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.32424560387451,2.48813873783617,2.5836813094652,2.66786575511658,2.95126495997624,3.05011376837206,3.10175751268289,3.28547964513561,3.6022485934431,3.915177018959,4.20881696897449,4.38965223801188,4.67298174853427,4.78450436031971,5.21218950074869,5.45620843396586,5.89853538642378,6.5684957396242,7.25924750526894,7.78136240023375,7.86490350372077,8.39109226676576,8.94192327667184,9.53877566379582,10.1069329175006,,,,,
Switzerland,CHE,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.606661723386,7.67500183835309,7.81179231173601,8.1918883351202,8.39721716358967,8.73919918341116,8.79362733582525,9.02254577964815,9.25201908209173,9.532146842008,10.2725563808315,10.012276551717,10.6136918845513,10.6472811638139,11.0944984667997,11.6312280730154,12.4632567061311,14.5848673086873,15.025107274429,14.8682475088557,15.8523705366788,17.5282616433108,18.0619969375092,18.1920146190599,20.2298829953543,21.6004711926683,,,,
Channel Islands,CHI,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.27457808127649,4.66565870557468,4.97993222180055,5.37503928417609,5.45162446882731,5.76420469875612,5.75249365480766,5.61402060089023,5.71987643547682,5.43866205821287,5.8238882066847,6.2653082550223,6.33881579547307,6.65152773864655,6.87636855229635,7.27242685685993,8.72688826356948,9.1453646323757,9.09086359766779,9.24288848775946,10.0457141581163,10.4308126302935,10.058323787893,10.1898747867174,11.2087490872287,11.3126065216392,,,,
China,CHN,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.28767561015773,1.49394257334017,1.68781373237722,1.85731303064015,2.04763159062725,2.16028194790504,2.35280766375632,2.61706600681224,2.83448778383376,3.0371721236954,3.26621711110517,3.47478435427199,3.60873794342693,3.53930572545388,3.50875046633727,3.64574920782802,3.87268929186795,4.2002155009478,4.55198205467671,4.69665570625555,4.75961853018935,4.96312519086168,5.2563413151159,5.58389424807115,6.01163437242267,,,,,
Cote d'Ivoire,CIV,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.85140836294763,5.8827189868769,5.50329303228957,5.42946240329632,5.45567438228527,5.98946537892639,5.84960131823557,6.0500267406401,6.43610317103419,5.56466869577434,5.76430351495945,6.13259712103948,5.73104955009769,6.09094104612458,4.4930179567753,4.55621580388612,4.84579636790784,4.70473286991782,4.89326877654675,5.55530001112436,5.29004024705112,4.50396678237617,4.68705443501135,4.84892242067434,5.24141247380991,,,,,
Cameroon,CMR,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.61019648650983,4.5405301226723,4.45163523129939,4.05520327256393,4.0879223150247,4.24430468985015,4.40177856792355,4.58148141470104,4.70597679440758,4.94049890958616,5.0157121492038,5.28720743966527,5.4688659393494,5.59736553062296,5.95239298114401,6.22481583515521,6.96210658625449,7.95303691040237,8.31780602984547,7.92274445934066,8.22657831107861,9.07412690111033,9.37513932804529,9.56857846503832,9.87983027704747,,,,,
"Congo, Dem. Rep.",COD,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.64032015496544,2.49672711651177,2.24445257470803,1.94915176718265,1.90624990709085,1.88012731631476,1.83267964576532,1.72917014183476,1.67912119952092,1.62397442879298,1.54396234578863,1.49450859034273,1.51041952351483,1.56588553231901,1.65059523040365,1.7391560764957,1.81825928037756,1.91430189163911,1.99922645221884,2.01161547801227,2.10232090582018,2.15984660564007,1.89992566212468,1.99560324303296,2.13021999075945,,,,,
"Congo, Rep.",COG,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3402276984547,10.4832659605144,11.1373736854749,11.2196293423483,12.5570569289306,11.6762842115444,13.1590747934407,13.901144333651,14.5703032206909,14.6266049918263,16.2000365005023,15.3303747377386,16.1682623620539,14.0683718453577,14.0782187943412,14.4579858871997,12.123321342573,13.7944271196729,13.8742779774765,13.1576963367429,13.2898370354665,10.5382189928699,9.72743320422491,9.98061426003239,10.8463964649306,,,,,
Colombia,COL,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.85423811597319,7.14989911256987,7.43876456684966,7.67177500138092,8.00847016107062,8.45395111743423,8.57657846492236,9.30019288895536,9.03185808732719,9.81453382170043,10.2781511440012,10.7239189870746,11.389334746996,11.8072838127533,12.6415777071023,13.102094256767,13.7138554442072,15.1406016564569,15.2230604938468,14.9750431432612,15.5551668957821,17.0225725948557,17.8585422110465,17.8110079519973,18.8083402127064,,,,,
Comoros,COM,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.6196178842653,,,,,,,,,,,,,,35.8735506999204,34.9562529414431,32.5664995822086,34.5310389454184,,,,,,,,,,,,
Cabo Verde,CPV,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6555918622389,,,,,,,,,,,,,,20.0107833353828,19.8321052876177,21.4145992100282,25.0799851509925,,,,,,,,,,,,
Costa Rica,CRI,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.34576911970265,9.31198438357688,8.05489828109453,8.65377058401668,9.37351897602211,9.76494752429275,10.0241848816267,10.629467025442,11.5639434727726,11.0575099625773,10.737980022662,11.2890869213837,11.259121382851,11.139615220651,10.0748966808498,10.7944172996801,11.0222134924299,11.3581998751887,11.9129851541523,11.9523346643984,12.4576728120403,13.2403201339523,13.9104321835139,14.1451375226766,14.7284256551486,,,,,
Caribbean small states,CSS,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.12375964119362,,,,,,,,,,2.72595509663401,2.644876438162,2.72974909478036,2.76175022465049,3.72300632191853,3.59866081161902,3.61206058212255,3.66703827737992,3.08451723970487,3.03356572966213,2.98691850802653,3.10091738025095,3.25654658474528,3.31378078947833,3.38077343562326,,,,,
Cuba,CUB,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.48038971736067,1.44153869203484,1.49753744674349,1.60405710797261,1.56086647224431,1.68384729421533,1.7889253870252,1.65881676144921,1.8062362177108,1.76609047854015,2.01014122752276,1.73728685223983,2.10287810727726,2.39735511614931,2.20866937521392,,,,,
Cayman Islands,CYM,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.65607550947175,5.77222192122231,5.73746430152322,5.50875084749376,5.21444763157583,6.55517785810931,6.07032535015711,6.45842830048037,6.44548938751157,6.79626822341106,6.91492033016375,7.58921333369541,7.7998505036374,7.47138480313868,8.63962598485869,9.23892300781276,9.75444583065052,10.3351543908917,10.6037326043813,10.8430896160775,11.2845534391696,11.9265120419453,12.3824113663035,13.6706797095254,13.131959621291,,,,,
Czech Republic,CZE,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.639150887498,2.6661276204029,2.79170460757002,2.94955839614289,3.1976652977539,3.4211894405173,3.51159402411268,3.51995721055385,3.67387410850796,4.05090014318571,4.0598417124013,4.26996755847614,4.36878883894932,4.45800601248369,4.66321648557648,4.98909156203793,5.29364391601112,5.84585527586056,6.42961039328455,6.84041024872746,6.52857645856254,7.06276752538004,7.16493273028175,7.64054630553466,8.24071002672534,8.72834154591466,,,,
Germany,DEU,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.39299216929978,4.8693708464655,5.1722161239876,5.29607170326765,5.56867881184218,5.72401849470651,5.67744915202194,5.86305876106401,6.0787153109907,6.46092594269916,6.66773479637746,6.76419373469994,7.13827835695603,7.34238238163791,7.63597128341323,7.82293913920448,8.14377641965666,9.14514314347849,9.42045238125003,9.7724407393852,9.80400900941238,11.0321827264491,11.2367116730913,11.4816241718937,12.486107901698,12.5681370410062,,,,
Djibouti,DJI,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3711545048325,,,,,,,,,,,,,,13.5167290969798,13.3448788955933,14.0466411392136,14.9836832765648,,,,,,,,,,,,
Denmark,DNK,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.39433754136484,5.09916690904755,5.55719290317486,5.54046316268851,5.75867286356796,6.11396585165208,5.68575087103605,6.47733602227724,6.84328850950852,7.39835155103395,8.21354115326158,8.21707121400249,8.66746706998571,8.25848132697854,9.14848442184932,9.79179004439013,10.0037415031534,10.7570666014374,11.7887087226592,12.1168878488366,12.2478223534102,13.746377738945,14.4922484103065,14.950977376049,16.6754467983192,17.4175414941393,,,,
Dominican Republic,DOM,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.35946064601656,6.5840252101177,6.75376833109511,7.65868451355126,6.98718584875122,7.17834108832514,7.42204500522394,7.36717692074435,7.52278093377851,7.77276382195957,7.73924468947851,8.35558029625696,8.35784856680539,8.87344314379233,10.334148161947,10.7261519601358,11.6530925637954,12.6379457398489,13.2602124090559,13.7440525841651,14.3338457940801,14.8189496415101,14.6919770893369,16.6316508641387,18.2199000415416,,,,,
